sample_id,extractor_name,version,file,line,symbol,extracted_fact,raw_context,reviewer1_label,reviewer2_label,adjudicated_label,error_category,notes
c_functions-024,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/blkdev.h,1021,bio_submit_split_bioset,"{""c_symbol"": ""bio_submit_split_bioset"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/blkdev.h"", ""line"": 1021, ""params"": ""[\""struct bio *bio\"", \""unsigned int split_sectors\"", \""struct bio_set *bs\""]"", ""return_type"": ""struct bio *"", ""version_id"": ""v7.0""}","[""struct bio *bio"", ""unsigned int split_sectors"", ""struct bio_set *bs""]",,,,,
c_functions-025,c_functions,v6.19,.binddrift/worktrees/v6.19/include/linux/mm.h,2085,folio_mk_pmd,"{""c_symbol"": ""folio_mk_pmd"", ""definition_file"": "".binddrift/worktrees/v6.19/include/linux/mm.h"", ""header_file"": "".binddrift/worktrees/v6.19/include/linux/mm.h"", ""line"": 2085, ""params"": ""[\""const struct folio *folio\"", \""pgprot_t pgprot\""]"", ""return_type"": ""static inline pmd_t"", ""version_id"": ""v6.19""}","[""const struct folio *folio"", ""pgprot_t pgprot""]",,,,,
c_functions-026,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/pci.h,1441,pci_set_cacheline_size,"{""c_symbol"": ""pci_set_cacheline_size"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/pci.h"", ""line"": 1441, ""params"": ""[\""struct pci_dev *dev\""]"", ""return_type"": ""int"", ""version_id"": ""v7.0""}","[""struct pci_dev *dev""]",,,,,
c_functions-027,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/security.h,2343,security_perf_event_alloc,"{""c_symbol"": ""security_perf_event_alloc"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/security.h"", ""line"": 2343, ""params"": ""[\""struct perf_event *event\""]"", ""return_type"": ""extern int"", ""version_id"": ""v6.17""}","[""struct perf_event *event""]",,,,,
c_functions-028,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/slab.h,515,kfree_sensitive,"{""c_symbol"": ""kfree_sensitive"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/slab.h"", ""line"": 515, ""params"": ""[\""const void *objp\""]"", ""return_type"": ""void"", ""version_id"": ""v7.0""}","[""const void *objp""]",,,,,
c_functions-029,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/pci.h,2678,pci_device_to_OF_node,"{""c_symbol"": ""pci_device_to_OF_node"", ""definition_file"": "".binddrift/worktrees/v6.17/include/linux/pci.h"", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/pci.h"", ""line"": 2678, ""params"": ""[\""const struct pci_dev *pdev\""]"", ""return_type"": ""static inline struct device_node *"", ""version_id"": ""v6.17""}","[""const struct pci_dev *pdev""]",,,,,
c_functions-030,c_functions,v6.14,.binddrift/worktrees/v6.14/include/linux/sched.h,2147,need_resched,"{""c_symbol"": ""need_resched"", ""definition_file"": "".binddrift/worktrees/v6.14/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.14/include/linux/sched.h"", ""line"": 2147, ""params"": ""[]"", ""return_type"": ""static __always_inline bool"", ""version_id"": ""v6.14""}",[],,,,,
c_functions-031,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/refcount.h,132,refcount_set,"{""c_symbol"": ""refcount_set"", ""definition_file"": "".binddrift/worktrees/v6.17/include/linux/refcount.h"", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/refcount.h"", ""line"": 132, ""params"": ""[\""refcount_t *r\"", \""int n\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.17""}","[""refcount_t *r"", ""int n""]",,,,,
c_functions-032,c_functions,v6.15,.binddrift/worktrees/v6.15/include/linux/fs.h,2669,free_anon_bdev,"{""c_symbol"": ""free_anon_bdev"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.15/include/linux/fs.h"", ""line"": 2669, ""params"": ""[\""dev_t\""]"", ""return_type"": ""void"", ""version_id"": ""v6.15""}","[""dev_t""]",,,,,
c_functions-033,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/property.h,34,__dev_fwnode,"{""c_symbol"": ""__dev_fwnode"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/property.h"", ""line"": 34, ""params"": ""[\""struct device *dev\""]"", ""return_type"": ""struct fwnode_handle *"", ""version_id"": ""v7.0""}","[""struct device *dev""]",,,,,
